index,random,reversed,almost,sorted
367,67,99621,126,126
368,215,99621,126,126
369,673,99620,126,127
370,189,99619,127,127
371,724,99618,127,127
372,881,99617,127,128
373,584,99616,128,128
374,813,99616,128,129
375,820,99614,129,129
376,104,99612,129,130
377,326,99612,130,130
378,205,99612,130,131
379,814,99611,131,131
380,720,99611,131,131
381,243,99611,131,131
382,556,99609,131,132
383,564,99608,132,132
384,208,99607,132,132
385,638,99604,132,133
386,865,99604,133,133
387,453,99601,133,133
388,492,99601,133,133
389,277,99596,133,133
390,315,99595,133,133
391,247,99594,133,133
392,843,99593,133,134
393,4,99591,134,135
394,556,99591,135,136
395,622,99589,136,136
396,501,99589,136,136
397,565,99588,136,136
398,691,99587,136,136
399,350,99585,136,136
400,379,99585,136,137
401,297,99584,137,137
402,420,99584,137,137
403,968,99584,137,137
404,670,99584,137,139
405,961,99583,139,139
406,384,99582,139,139
407,807,99581,139,140
408,20,99580,140,141
409,879,99575,141,141
410,262,99572,141,141
411,636,99571,141,141
412,401,99563,141,141
413,440,99562,141,142
414,191,99560,142,142
415,30,99557,142,143
416,33,99557,143,143
417,125,99555,143,143
418,314,99554,143,143
419,870,99553,143,143
420,380,99549,143,143
421,755,99548,143,143
422,354,99547,143,144
423,840,99544,144,144
424,74,99544,144,145
425,598,99544,145,145
426,868,99544,145,145
427,127,99543,145,145
428,759,99543,145,145
429,891,99543,145,145
430,799,99543,145,145
431,738,99543,145,145
432,736,99542,145,145
433,207,99542,145,146
434,792,99539,146,146
435,376,99538,146,146
436,729,99537,146,146
437,295,99536,146,147
438,614,99535,147,147
439,151,99535,147,148
440,61,99533,148,148
441,962,99533,148,149
442,479,99531,149,149
443,41,99530,149,149
444,473,99530,149,150
445,104,99529,150,150
446,133,99528,150,151
447,822,99528,151,151
448,896,99526,151,152
449,819,99523,152,153
450,437,99522,153,153
451,965,99522,153,154
452,908,99522,154,155
453,359,99518,155,155
454,968,99516,155,155
455,480,99515,155,155
456,630,99515,155,155
457,292,99512,155,156
458,254,99511,156,156
459,348,99511,156,156
460,897,99511,156,157
461,236,99511,157,157
462,468,99508,157,157
463,609,99504,157,157
464,330,99504,157,157
465,723,99503,157,158
466,765,99502,158,158
467,266,99498,158,159
468,258,99498,159,159
469,394,99497,159,160
470,49,99496,160,160
471,48,99492,160,161
472,883,99490,161,161
473,254,99490,161,161
474,705,99490,161,162
475,429,99487,162,162
476,656,99487,162,162
477,119,99486,162,163
478,105,99485,163,163
479,874,99481,163,163
480,245,99480,163,163
481,183,99480,163,163
482,751,99477,163,164
483,337,99477,164,164
484,27,99475,164,165
485,762,99475,165,167
486,762,99474,167,168
487,903,99472,168,168
488,278,99472,168,170
489,143,99470,170,170
490,266,99468,170,170
491,889,99463,170,170
492,583,99463,170,171
493,228,99463,171,171
494,462,99462,171,171
495,392,99460,171,172
496,283,99460,172,173
497,987,99458,173,174
498,958,99458,174,175
499,469,99456,175,176
500,668,99455,176,177
501,507,99454,177,178
502,688,99451,178,178
503,698,99450,178,179
504,442,99450,179,179
505,845,99449,179,179
506,792,99449,179,179
507,404,99448,179,180
508,680,99447,180,181
509,663,99447,181,181
510,734,99447,181,181
511,615,99444,181,182
512,43,99443,182,182
513,981,99443,182,182
514,95,99442,182,182
515,966,99442,182,183
516,442,99442,183,184
517,647,99440,184,184
518,113,99439,184,184
519,409,99435,184,184
520,243,99435,184,184
521,616,99433,184,184
522,82,99427,184,185
523,689,99426,185,185
524,887,99426,185,186
525,287,99426,186,186
526,794,99424,186,187
527,191,99421,187,187
528,212,99420,187,187
529,187,99420,187,187
530,199,99419,187,188
531,666,99418,188,188
532,104,99418,188,188
533,633,99417,188,189
534,775,99416,189,189
535,260,99415,189,189
536,729,99414,189,189
537,37,99414,189,189
538,848,99413,189,190
539,862,99412,190,191
540,206,99411,191,191
541,450,99411,191,191
542,250,99410,191,192
543,646,99408,192,192
544,478,99408,192,192
545,249,99407,192,192
546,15,99407,192,193
547,107,99406,193,193
548,218,99406,193,193
549,131,99405,193,193
550,717,99401,193,194
551,987,99401,194,194
552,511,99401,194,194
553,232,99400,194,195
554,229,99400,195,195
555,392,99399,195,195
556,875,99399,195,195
557,312,99397,195,195
558,514,99395,195,195
559,441,99393,195,195
560,209,99392,195,196
561,398,99390,196,197
562,240,99388,197,197
563,424,99387,197,197
564,362,99386,197,198
565,855,99385,198,199
566,454,99384,199,199
567,707,99382,199,199
568,181,99382,199,199
569,891,99378,199,199
570,804,99378,199,200
571,603,99377,200,201
572,412,99377,201,201
573,502,99377,201,202
574,607,99375,202,203
575,735,99375,203,203
576,515,99375,203,203
577,597,99373,203,204
578,517,99373,204,204
579,362,99373,204,205
580,39,99370,205,205
581,549,99370,205,205
582,558,99368,205,206
583,205,99367,206,206
584,28,99367,206,206
585,492,99366,206,207
586,313,99366,207,207
587,506,99365,207,208
588,461,99365,208,208
589,645,99362,208,208
590,209,99362,208,208
591,301,99360,208,208
592,79,99360,208,208
593,402,99360,208,209
594,248,99359,209,209
595,987,99358,209,209
596,753,99358,209,209
597,65,99357,209,209
598,606,99354,209,210
599,727,99353,210,210
600,250,99352,210,210
601,635,99351,210,210
602,696,99349,210,210
603,220,99348,210,211
604,4,99348,211,212
605,453,99346,212,212
606,59,99345,212,213
607,841,99344,213,213
608,769,99344,213,214
609,868,99343,214,214
610,248,99342,214,215
611,243,99342,215,215
612,432,99340,215,215
613,350,99339,215,215
614,96,99337,215,215
615,573,99337,215,216
616,143,99337,216,216
617,15,99335,216,216
618,924,99335,216,216
619,347,99334,216,216
620,799,99332,216,217
621,441,99330,217,218
622,126,99327,218,218
623,778,99327,218,218
624,737,99326,218,218
625,247,99323,218,218
626,535,99323,218,218
627,500,99322,218,219
628,314,99321,219,219
629,828,99318,219,219
630,881,99316,219,220
631,615,99316,220,220
632,791,99312,220,220
633,535,99310,220,220
634,808,99310,220,220
635,196,99309,220,220
636,483,99308,220,221
637,88,99308,221,221
638,623,99308,221,222
639,131,99308,222,223
640,43,99307,223,223
641,407,99306,223,223
642,16,99305,223,224
643,437,99305,224,224
644,381,99303,224,224
645,570,99302,224,224
646,552,99302,224,225
647,1000,99302,225,225
648,15,99299,225,226
649,906,99298,226,227
650,425,99296,227,228
651,766,99295,228,228
652,73,99295,228,229
653,430,99295,229,229
654,255,99293,229,231
655,910,99291,231,231
656,1000,99289,231,231
657,461,99288,231,231
658,969,99288,231,232
659,277,99287,232,232
660,331,99286,232,232
661,845,99285,232,232
662,511,99284,232,232
663,531,99283,232,232
664,991,99283,232,232
665,85,99283,232,232
666,246,99282,232,232
667,852,99280,232,232
668,208,99280,232,234
669,691,99279,234,234
670,809,99277,234,234
671,775,99277,234,234
672,580,99275,234,234
673,443,99274,234,234
674,91,99274,234,235
675,439,99272,235,235
676,733,99271,235,236
677,537,99271,236,236
678,356,99270,236,236
679,871,99269,236,236
680,420,99268,236,237
681,830,99266,237,237
682,11,99266,237,238
683,5,99266,238,239
684,630,99265,239,239
685,658,99263,239,239
686,647,99258,239,240
687,313,99258,240,240
688,699,99256,240,241
689,95,99255,241,241
690,910,99255,241,241
691,621,99254,241,241
692,736,99254,241,241
693,87,99254,241,242
694,378,99254,242,243
695,842,99254,243,243
696,562,99253,243,243
697,653,99251,243,244
698,699,99249,244,244
699,133,99248,244,245
700,307,99245,245,245
701,37,99245,245,246
702,377,99242,246,246
703,487,99240,246,246
704,378,99237,246,246
705,508,99236,246,247
706,934,99236,247,247
707,604,99236,247,247
708,992,99233,247,247
709,637,99233,247,248
710,750,99233,248,248
711,60,99233,248,248
712,480,99232,248,248
713,300,99232,248,248
714,156,99232,248,248
715,239,99231,248,249
716,754,99231,249,249
717,913,99230,249,249
718,763,99230,249,249
719,951,99229,249,250
720,108,99228,250,250
721,653,99227,250,250
722,219,99224,250,250
723,558,99223,250,250
724,381,99222,250,250
725,595,99222,250,251
726,98,99221,251,251
727,676,99219,251,251
728,523,99219,251,252
729,899,99218,252,252
730,309,99217,252,253
731,694,99217,253,253
732,705,99217,253,253
733,292,99216,253,253
734,969,99215,253,253
735,128,99215,253,254
736,423,99215,254,254
737,326,99214,254,254
738,822,99212,254,254
739,853,99212,254,254
740,530,99211,254,254
741,78,99210,254,255
742,235,99209,255,255
743,267,99207,255,256
744,311,99207,256,256
745,7,99207,256,256
746,412,99206,256,257
747,100,99206,257,257
748,807,99205,257,257
749,349,99204,257,258
750,296,99204,258,258
751,924,99202,258,258
752,351,99198,258,259
753,162,99196,259,259
754,755,99196,259,259
755,850,99195,259,259
756,890,99195,259,260
757,534,99192,260,260
758,857,99190,260,260
759,257,99189,260,261
760,439,99187,261,261
761,360,99185,261,261
762,689,99184,261,262
763,526,99183,262,262
764,516,99180,262,263
765,357,99179,263,263
766,964,99177,263,263
767,800,99175,263,264
768,177,99175,264,264
769,959,99175,264,266
770,254,99174,266,266
771,354,99173,266,266
772,505,99172,266,267
773,976,99172,267,267
774,144,99168,267,267
775,488,99168,267,267
776,256,99167,267,268
777,381,99166,268,268
778,550,99166,268,268
779,718,99164,268,269
780,541,99163,269,270
781,208,99163,270,271
782,964,99163,271,271
783,498,99162,271,271
784,851,99162,271,273
785,783,99161,273,274
786,545,99160,274,274
787,408,99160,274,274
788,39,99159,274,274
789,901,99158,274,274
790,884,99157,274,275
791,552,99157,275,275
792,245,99157,275,276
793,951,99155,276,276
794,809,99154,276,276
795,171,99150,276,277
796,670,99146,277,277
797,22,99146,277,277
798,308,99146,277,277
799,938,99145,277,277
800,549,99144,277,278
801,714,99141,278,278
802,87,99140,278,278
803,492,99140,278,279
804,82,99139,279,279
805,854,99139,279,281
806,703,99137,281,281
807,586,99137,281,281
808,1000,99136,281,282
809,337,99133,282,283
810,665,99132,283,283
811,654,99130,283,283
812,990,99130,283,283
813,909,99129,283,283
814,121,99128,283,283
815,341,99124,283,283
816,801,99124,283,283
817,288,99124,283,284
818,161,99124,284,285
819,328,99123,285,285
820,795,99123,285,286
821,27,99123,286,286
822,697,99122,286,286
823,806,99122,286,287
824,407,99121,287,287
825,45,99120,287,287
826,452,99120,287,287
827,926,99119,287,288
828,776,99117,288,289
829,305,99117,289,289
830,793,99117,289,289
831,334,99114,289,289
832,667,99113,289,289
833,347,99112,289,290
834,537,99112,290,290
835,418,99110,290,290
836,87,99108,290,291
837,684,99107,291,291
838,194,99106,291,292
839,386,99105,292,292
840,49,99103,292,292
841,51,99101,292,293
842,141,99101,293,293
843,350,99100,293,294
844,431,99099,294,294
845,703,99099,294,294
846,576,99098,294,294
847,462,99097,294,294
848,314,99097,294,295
849,719,99094,295,295
850,211,99093,295,296
851,264,99091,296,296
852,876,99090,296,296
853,35,99090,296,297
854,503,99087,297,297
855,104,99087,297,297
856,31,99085,297,300
857,666,99082,300,300
858,352,99079,300,300
859,354,99078,300,300
860,514,99077,300,301
861,724,99077,301,301
862,396,99076,301,301
863,319,99074,301,301
864,560,99073,301,301
865,978,99073,301,302
866,429,99072,302,302
867,358,99071,302,302
868,796,99070,302,303
869,110,99069,303,303
870,206,99068,303,303
871,992,99067,303,303
872,141,99066,303,304
873,760,99066,304,304
874,8,99065,304,305
875,604,99065,305,305
876,976,99062,305,305
877,791,99059,305,305
878,652,99058,305,307
879,40,99058,307,308
880,562,99057,308,308
881,317,99053,308,308
882,253,99050,308,308
883,404,99049,308,309
884,419,99047,309,309
885,32,99046,309,309
886,663,99046,309,310
887,781,99044,310,311
888,888,99043,311,311
889,668,99042,311,311
890,344,99041,311,311
891,341,99041,311,312
892,195,99041,312,312
893,967,99040,312,313
894,683,99040,313,313
895,853,99039,313,313
896,469,99039,313,313
897,951,99039,313,313
898,733,99038,313,314
899,32,99033,314,314
900,3,99033,314,314
901,96,99032,314,314
902,263,99032,314,315
903,585,99031,315,315
904,969,99030,315,315
905,860,99029,315,316
906,168,99029,316,316
907,346,99028,316,317
908,536,99028,317,317
909,8,99028,317,317
910,956,99026,317,319
911,164,99025,319,319
912,756,99023,319,319
913,930,99020,319,319
914,368,99020,319,320
915,325,99020,320,320
916,409,99019,320,321
917,416,99016,321,321
918,156,99015,321,321
919,533,99014,321,321
920,790,99013,321,321
921,387,99013,321,322
922,526,99013,322,322
923,870,99011,322,323
924,789,99011,323,323
925,347,99010,323,323
926,199,99010,323,323
927,512,99008,323,324
928,499,99008,324,324
929,967,99008,324,325
930,287,99007,325,325
931,574,99005,325,325
932,649,99004,325,326
933,679,99003,326,326
934,729,99003,326,326
935,499,99002,326,327
936,598,99000,327,327
937,50,99000,327,327
938,838,98997,327,328
939,60,98997,328,329
940,558,98996,329,330
941,750,98995,330,330
942,903,98995,330,330
943,969,98993,330,330
944,52,98992,330,330
945,366,98989,330,330
946,937,98988,330,331
947,796,98987,331,331
948,418,98986,331,331
949,952,98985,331,331
950,540,98983,331,332
951,600,98983,332,333
952,898,98981,333,334
953,615,98981,334,334
954,914,98981,334,334
955,830,98980,334,334
956,261,98980,334,335
957,321,98979,335,335
958,39,98977,335,336
959,973,98976,336,336
960,766,98975,336,336
961,690,98975,336,336
962,654,98971,336,337
963,113,98970,337,337
964,954,98968,337,338
965,521,98967,338,339
966,104,98966,339,339
967,589,98963,339,339
968,458,98963,339,339
969,417,98962,339,339
970,119,98960,339,339
971,327,98960,339,339
972,274,98959,339,340
973,665,98958,340,341
974,721,98958,341,341
975,487,98958,341,341
976,871,98957,341,341
977,275,98956,341,341
978,301,98952,341,342
979,220,98951,342,342
980,354,98950,342,342
981,403,98950,342,343
982,459,98949,343,343
983,868,98947,343,343
984,97,98946,343,343
985,392,98944,343,344
986,639,98944,344,344
987,917,98943,344,345
988,632,98942,345,346
989,47,98941,346,346
990,68,98940,346,346
991,122,98940,346,346
992,309,98939,346,347
993,486,98939,347,347
994,820,98938,347,347
995,311,98938,347,347
996,120,98936,347,347
997,248,98936,347,348
998,930,98936,348,348
999,420,98935,348,348
1000,289,98933,348,348
1001,7528,98932,348,348
1002,8124,98926,348,349
1003,9592,98926,349,349
1004,1680,98925,349,349
1005,8680,98924,349,350
1006,6012,98923,350,350
1007,5575,98918,350,350
1008,2375,98917,350,350
1009,3461,98917,350,350
1010,5064,98916,350,351
1011,5731,98915,351,351
1012,1786,98914,351,352
1013,2950,98914,352,352
1014,8177,98913,352,352
1015,5904,98911,352,352
1016,489,98907,352,353
1017,5790,98907,353,353
1018,7393,98907,353,353
1019,8782,98906,353,354
1020,8704,98902,354,354
1021,3759,98902,354,354
1022,6575,98901,354,354
1023,9551,98900,354,354
1024,3679,98900,354,355
1025,8993,98899,355,355
1026,9730,98898,355,356
1027,2894,98898,356,357
1028,9033,98897,357,357
1029,9410,98896,357,357
1030,4952,98896,357,358
1031,106,98893,358,358
1032,874,98892,358,359
1033,5543,98892,359,359
1034,3402,98891,359,359
1035,5186,98890,359,360
1036,6426,98889,360,360
1037,4590,98886,360,360
1038,8021,98885,360,360
1039,179,98885,360,361
1040,15,98883,361,362
1041,2978,98881,362,362
1042,9014,98881,362,362
1043,3265,98880,362,362
1044,8299,98880,362,362
1045,6206,98879,362,363
1046,9702,98879,363,363
1047,4337,98876,363,364
1048,5925,98873,364,364
1049,1815,98873,364,364
1050,7118,98872,364,364
1051,4607,98871,364,364
1052,1211,98871,364,365
1053,2510,98870,365,365
1054,1793,98868,365,366
1055,2268,98868,366,366
1056,4214,98867,366,366
1057,7840,98865,366,366
1058,9010,98864,366,366
1059,3675,98863,366,366
1060,3878,98863,366,366
1061,2219,98862,366,366
1062,7527,98861,366,366
1063,7946,98860,366,367
1064,2162,98859,367,367
1065,634,98856,367,368
1066,9666,98856,368,368
1067,2868,98854,368,368
1068,451,98851,368,368
1069,7915,98847,368,370
1070,8992,98845,370,370
1071,8428,98845,370,370
1072,9077,98843,370,371
1073,2741,98840,371,371
1074,9193,98839,371,371
1075,6895,98839,371,371
1076,9446,98838,371,372
1077,7109,98837,372,372
1078,6769,98837,372,372
1079,1047,98834,372,373
1080,1722,98834,373,373
1081,5056,98834,373,373
1082,8380,98829,373,373
1083,6872,98828,373,374
1084,1914,98827,374,374
1085,7667,98827,374,375
1086,7701,98826,375,375
1087,7283,98826,375,375
1088,146,98824,375,376
1089,6762,98824,376,376
1090,9303,98819,376,376
1091,8588,98819,376,376
1092,1623,98819,376,377
1093,5800,98815,377,377
1094,8565,98815,377,377
1095,563,98813,377,377
1096,2837,98813,377,377
1097,9414,98811,377,378
1098,3247,98810,378,378
1099,6424,98809,378,378
1100,6524,98808,378,379
1101,6962,98808,379,379
1102,1212,98805,379,379
1103,8426,98804,379,380
1104,7715,98803,380,380
1105,1104,98803,380,381
1106,6929,98799,381,381
1107,1235,98798,381,381
1108,6632,98798,381,381
1109,6719,98798,381,381
1110,6374,98797,381,381
1111,3486,98797,381,381
1112,2019,98797,381,381
1113,8959,98796,381,382
1114,1310,98794,382,382
1115,7561,98793,382,383
1116,7137,98793,383,383
1117,4071,98792,383,384
1118,6398,98792,384,384
1119,9157,98791,384,385
1120,1895,98791,385,385
1121,7159,98790,385,385
1122,1389,98790,385,386
1123,535,98788,386,386
1124,5389,98787,386,386
1125,7951,98786,386,387
1126,2047,98786,387,387
1127,7076,98786,387,388
1128,1911,98786,388,389
1129,9922,98786,389,389
1130,6478,98786,389,390
1131,216,98786,390,391
1132,814,98782,391,391
1133,1492,98778,391,391
1134,464,98778,391,391
1135,9490,98777,391,391
1136,7722,98776,391,392
1137,9257,98775,392,392
1138,2809,98774,392,392
1139,982,98770,392,392
1140,1398,98769,392,392
1141,3893,98768,392,392
1142,5999,98768,392,393
1143,2082,98766,393,393
1144,9397,98765,393,394
1145,3761,98764,394,394
1146,5651,98763,394,395
1147,5943,98763,395,395
1148,2624,98762,395,395
1149,7735,98760,395,396
1150,7567,98758,396,396
1151,914,98757,396,396
1152,2281,98756,396,396
1153,6846,98755,396,396
1154,7642,98755,396,397
1155,4791,98754,397,397
1156,4431,98754,397,397
1157,6086,98754,397,397
1158,4499,98753,397,397
1159,349,98752,397,398
1160,9085,98752,398,399
1161,6013,98752,399,399
1162,9129,98750,399,399
1163,9711,98749,399,399
1164,9718,98749,399,399
1165,324,98746,399,399
1166,3716,98744,399,400
1167,5014,98743,400,400
1168,5634,98740,400,400
1169,1376,98739,400,401
1170,9742,98739,401,401
1171,371,98739,401,401
1172,6838,98738,401,401
1173,3333,98736,401,402
1174,5392,98736,402,402
1175,1597,98736,402,402
1176,3691,98736,402,402
1177,5106,98735,402,403
1178,8092,98735,403,403
1179,7170,98732,403,403
1180,2072,98732,403,403
1181,7442,98731,403,404
1182,8212,98730,404,404
1183,3876,98728,404,404
1184,8444,98726,404,404
1185,1791,98724,404,404
1186,3335,98723,404,405
1187,4154,98723,405,406
1188,8510,98722,406,406
1189,6298,98722,406,406
1190,2009,98718,406,407
1191,9095,98716,407,407
1192,904,98715,407,408
1193,5345,98715,408,408
1194,1821,98713,408,408
1195,7747,98711,408,408
1196,1105,98711,408,408
1197,7808,98711,408,409
1198,9513,98710,409,409
1199,2654,98709,409,409
1200,7778,98708,409,409
1201,3949,98707,409,410
1202,5951,98705,410,410
1203,6122,98705,410,411
1204,7120,98705,411,411
1205,1950,98704,411,411
1206,4325,98704,411,412
1207,7876,98703,412,412
1208,5654,98701,412,412
1209,5151,98700,412,412
1210,1924,98697,412,412
1211,7438,98697,412,413
1212,4633,98695,413,413
1213,8980,98694,413,414
1214,4554,98693,414,414
1215,1418,98691,414,415
1216,7775,98691,415,415
1217,5325,98689,415,415
1218,9177,98689,415,415
1219,1906,98689,415,416
1220,6021,98689,416,416
1221,2128,98686,416,417
1222,4524,98684,417,417
1223,6573,98684,417,417
1224,8263,98679,417,418
1225,6477,98675,418,418
1226,1223,98674,418,418
1227,4986,98674,418,418
1228,5186,98673,418,418
1229,7465,98671,418,418
